"ISBN","PubDate","PrintYear","Price","Discipline","Title","Subtitle","AuthorFirst1","AuthorLast1","AuthorAffiliation1","AuthorFirst2","AuthorLast2","AuthorAffiliation2","AuthorFirst3","AuthorLast3","AuthorAffiliation3","AuthorFirst4","AuthorLast4","AuthorAffiliation4","AuthorFirst5","AuthorLast5","AuthorAffiliation5","AuthorEditor","Imprint","Edition","Cover","Pages","Illustrations","Series","Volume","AuthorURL1","Description","TOC","Reviews","Classification","AuthorCountry"
"354021402X",2004-07-27,"2004",67.00,"Computer Science","Functional and Logic Programming","7th International Symposium, FLOPS 2004, Nara, Japan, April 7-9, 2004, Proceedings","Yukiyoshi","Kameyama","University of Tsukuba, Japan","Peter J.","Stuckey","University of Melbourne, VIC, Australia",,,,,,,,,,"E",,,"SC","307",,"Lecture Notes in Computer Science","002998",,"<P>&nbsp;</P> <P>This book constitutes the refereed proceedings of the 7th International Symposium on Functional and Logic Programming, FLOPS 2004, held in Nara, Japan, in April 2004.</P> <P>The 18 revised full papers presented together with 3 invited con",,,"C","China"
"3790802174",2004-07-27,"2004",69.95,"Economics & Law","The Sourcing of Application Software Services","Empirical Evidence of Cultural, Industry and Functional Differences","Jens","Dibbern","University of Mannheim, Germany",,,,,,,,,,,,,"A","Physica-Verlag",,"SC","331",,"Information Age Economy",,,"<P>The field of Information Systems (IS) outsourcing has drawn considerable attention among scientists and practitioners for the past fifteen years.&nbsp;The present book analyses why organizations insource or outsource IS functions û specifically the dev","Introduction.- Theoretical Framework on Information Systems Sourcing.- Empirical Test of Sourcing Model.- Discussion of Model Findings.- Conclusion.- Appendix.",,"C","Ghana"
"3540221182",2004-07-27,"2004",72.00,"Computer Science","Privacy in Statistical Databases","CASC Project International Workshop, PSD 2004, Barcelona, Spain, June 9-11, 2004, Proceedings","Josep","Domingo-Ferrer","Universitat Rovira i Virgili, Tarragona, Spain","Vicenc","Torra","CSIC-Spanish Council for Scientific Research, Bellaterra, Spain",,,,,,,,,,"E",,,"SC","367",,"Lecture Notes in Computer Science","003050",,"<P>This book constitutes the refereed proceedings of the International Workshop on Privacy in Statistical Databases, PSD 2004, held in June 2004 in Barcelona, Spain as the final conference of the European IST Project Computational Aspects of Statistical C",,,"C","France"
"3540221379",2004-07-27,"2004",72.00,"Computer Science","Extreme Programming and Agile Processes in Software Engineering","5th International Conference, XP 2004, Garmisch-Partenkirchen, Germany, June 6-10, 2004, Proceedings","Jutta","Eckstein","Munich, Germnay","Hubert","Baumeister","Ludwig-Maximilians-UniversitΣt, Munich, Germany",,,,,,,,,,"E",,,"SC","358",,"Lecture Notes in Computer Science","003092",,"<P>This book constitutes the refereed proceedings of the 5th International Conference on Extreme Programming and Agile Processes in Software Engineering, XP 2004, held in Garmisch-Partenkirchen in June 2004.</P> <P>The 23 revised full papers presented tog",,,"C","England"
"3540221441",2004-07-27,"2004",72.00,"Computer Science","Multiple Classifier Systems","5th International Workshop, MCS 2004, Cagliari, Italy, June 9-11, 2004, Proceedings","Fabio","Roli","University of Cagliari, Italy","Josef","Kittler","University of Surrey, Guildford, UK","Terry","Windeatt","University of Surrey, Guildford, UK",,,,,,,"E",,,"SC","386",,"Lecture Notes in Computer Science","003077",,"<P>This book constitutes the refereed proceedings of the 5th International Workshop on Multiple Classifier Systems, MCS 2004, held in Cagliari, Italy in June 2004.</P> <P>The 35 revised full papers presented together with 2 invited papers were carefully r",,,"C","India"
"140208160X",2004-07-27,"2004",75.00,"Computer Science","Student Forum",,"Mohamed","KaΓniche","Toulouse, France",,,,,,,,,,,,,"A",,,"SC","440",,,,,,,,"C","USA"
"3540214224",2004-07-27,"2004",79.95,"Physics","Quantum Magnetism",,"Ulrich","Schollw÷ck","RWTH Aachen, Germany","Johannes","Richter","UniversitΣt Magdeburg, Germany","Damian J.J.","Farnell","University of Liverpool, United Kingdom","Raymond F.","Bishop","University of Manchester, United Kingdom",,,,"E",,,"HC","478",,"Lecture Notes in Physics","000645",,"<P>The investigation of magnetic systems where quantum effects play a dominant role has become a very active branch of solid-state-physics research in its own right. The first three chapters of the",,,"C","China"
"3790802026",2004-07-27,"2004",79.95,"Economics & Law","Economics and Management of Franchising Networks",,"Josef","Windsperger","University of Vienna, Austria","GΘrard","Cliquet","UniversitΘ of Rennes, France","George","Hendrikse","Erasmus University Rotterdam, The Netherlands","Mika","Tuunanen","University of JyvΣskylΣ, Finland",,,,"E","Physica-Verlag",,"SC","364",,"Contributions to Management Science",,,"<P>Franchising networks are experiencing great success in international business organization. Few books try to explain the characteristics of these networks. Contrary to the existing literature this book tackles more theoretical problems related to gover","<P>Part A:&nbsp; Theoretical Views of the Franchise Governance Structure.- Part B: Plural Forms and Other Hybrid Organizational Forms.- Part C: Contract Design and Compensation.- Part D: Knowledge and Strategic Management Issues.- Part E: International Ma",,"C","Ghana"
"3540221565",2004-07-27,"2004",84.00,"Computer Science","Algorithmic Number Theory","6th International Symposium, ANTS-VI, Burlington, VT, USA, June 13-18, 2004, Proceedings","Duncan","Buell","University of South Carolina, Columbia, SC",,,,,,,,,,,,,"E",,,"SC","451",,"Lecture Notes in Computer Science","003076",,"<P>This book constitutes the refereed proceedings of the 6th International Algorithmic Number Theory Symposium, ANTS 2004, held in Burlington, VT, USA, in June 2004.</P> <P>The 30 revised full papers presented together with 3 invited papers were carefully",,,"C","France"
"3540221204",2004-07-27,"2004",89.00,"Computer Science","Applications of Graph Transformations with Industrial Relevance","Second International Workshop, AGTIVE 2003, Charlottesville, VA, USA, September 27 - October 1, 2003, Revised Selected and Invited Papers","John L.","Pfaltz","University of Virginia, Charlottesville, VA","Manfred","Nagl","RWTH Aachen, Germany","Boris","B÷hlen","RWTH Aachen, Germany",,,,,,,"E",,,"SC","500",,"Lecture Notes in Computer Science","003062",,"<P>This book constitutes the thoroughly refereed post-proceedings of the Second International Workshop on Applications of Graph Transformations with Industrial Relevance, AGTIVE 2003, held in Charlotesville, Virginia, USA in September/October 2003.</P> <P",,,"C","England"
"3540222170",2004-07-27,"2004",89.00,"Computer Science","Applied Cryptography and Network Security","Second International Conference, ACNS 2004, Yellow Mountain, China, June 8-11, 2004. Proceedings","Markus","Jakobsson","RSA Laboratories, Hoboken, NJ","Moti","Yung","Columbia University, New York, NY","Jianying","Zhou","Institute for Infocomm Research, Singapore",,,,,,,"E",,,"SC","510",,"Lecture Notes in Computer Science","003089",,"<P>This book constitutes the refereed proceedings of the Second International Conference on Applied Cryptography and Network Security, ACNS 2004, held in Yellow Mountain, China, in June 2004.</P> <P>The 36 revised full papers presented were carefully revi",,,"C","India"
"3540204563",2004-07-27,"2004",89.95,"Mathematics","Combinatorial Optimization","Polyhedra and Efficiency","Alexander","Schrijver","CWI, Amsterdam, The Netherlands",,,,,,,,,,,,,"A",,,"CD sales f","16",,"Algorithms and Combinatorics","0024/A",,,,,"B","USA"
"3540210962",2004-07-27,"2004",89.95,"Engineering","Mechatronic Servo System Control","Problems in Industries and their Theoretical Solutions","M.","Nakamura","University of Saga, Japan","S.","Goto","University of Saga, Japan","N.","Kyura","Kinki University, Kyushu, Japan",,,,,,,"A",,,"SC","199",,"Lecture Notes in Control and Information Sciences","000300",,"<P></P> <P>This monograph presents the fundamentals as well as the application techniques of servo control systems, which are a key element of Mechatronics. The industrial applications and problems of Mechatronic Servo System Control are demonstrated as w","<P>Outline of mechatronic servo system.- Mathematical model construction of a mechatronic servo system.- Discretized time interval of a mechatronic servo system.- Quantization error of mechatronic servo system.- Torque saturation of mechatronic servo syst",,"C","China"
"3540221255",2004-07-27,"2004",95.00,"Computer Science","Intelligence and Security Informatics","Second Symposium on Intelligence and Security Informatics, ISI 2004, Tucson, AZ, USA, June 10-11, 2004, Proceedings","Hsinchun","Chen","University of Arizona, Tucson, AZ","Reagan","Moore","San Diego Supercomputer Center, La Jolla, CA","Daniel D.","Zeng","University of Arizona, Tucson, AZ","John","Leavitt","Tucson Police Department, Tucson, AZ",,,,"E",,,"SC","536",,"Lecture Notes in Computer Science","003073",,"<P>This book constitutes the refereed proceedings of the Second Symposium on Intelligence and Security Informatics, ISI 2004, held in Tucson, AZ, USA in June 2004.</P> <P>The 29 revised full papers and 12 revised short papers presented together with 6 ext",,,"C","Ghana"
"3540220143",2004-07-27,"2004",99.00,"Statistics","Classification, Clustering, and Data Mining Applications","Proceedings of the Meeting of the International Federation of Classification Societies (IFCS), Illinois Institute of Technology, Chicago, 15-18 July 2004","David","Banks","Duke University, Durham, NC","Leanna","House","Duke University, Durham, NC","Frederick R.","McMorris","Illinois Institute of Technology, Chicago, IL","Phipps","Arabie","Rutgers University, Newark, NJ","Wolfgang","Gaul","University of Karlsruhe, Germany","E",,,"SC","658",,"Studies in Classification, Data Analysis, and Knowledge Organization",,,"Modern data analysis stands at the interface of statistics, computer science, and discrete mathematics. This volume describes new methods in this area, with special emphasis on classification and cluster analysis. Those methods are applied to problems in ","New Methods in Cluster Analysis.- Modern Nonparametrics.- Classification and Dimension Reduction.- Symbolic Data Analysis.- Taxonomy and Medicine.- Text Mining.- Contingency Tables and Missing Data.",,"B","France"
"0387207538",2004-07-27,"2004",99.00,"Medicine","Intensive Care Medicine","Annual Update 2004","Jean-Louis","Vincent","University of Brussels, Belgium",,,,,,,,,,,,,"E",,,"HC","943",,,,,"<P>The&nbsp;Update compiles the most recent, widespread developments of experimental and clinical research and practice in one comprehensive reference book. The chapters are written by well recognized experts in the field of intensive care and emergency m",,,"C","England"
"3540219218",2004-07-27,"2004",99.95,"Physics","Heavy Quark Physics",,"David","Blaschke","University of Rostock, Germany","Mikhal A.","Ivanov","Bogoliubov Laboratory of Theoretical Physics, Dubna, Russia","Thomas","Mannel","University of Karlsruhe, Germany",,,,,,,"E",,,"HC","440",,"Lecture Notes in Physics","000647",,"This volume covers the main topics in heavy flavour physics in a comprehensive yet accessible way. The material is presented as a combination of extensive introductory lectures and more typical contributions. This book will benefit postgraduate students a","B-Physics.- Modelling QCD.- Production of Heavy Flavors.- Index.",,"C","USA"
"354022159X",2004-07-27,"2004",100.00,"Computer Science","ECOOP 2004 - Object-Oriented Programming","18th European Conference, Oslo, Norway, June 14-18, 2004, Proceedings","Martin","Odersky","School of Computer and Communications Sciences, EPFL, Lausanne, Switzerland",,,,,,,,,,,,,"E",,,"SC","609",,"Lecture Notes in Computer Science","003086",,"<P>This book constitutes the refereed proceedings of the 18th European Conference on Object-Oriented Programming, ECOOP 2004, held in Oslo, Norway in June 2004.</P> <P>The 25 revised full papers presented together with the abstracts of 2 invited talks wer",,,"C","China"
"354022114X",2004-07-27,"2004",106.00,"Computer Science","Computational Science - ICCS 2004","4th International Conference, Krak≤w, Poland, June 6-9, 2004, Proceedings, Part I","Marian","Bubak","AGH University of Science and Technology, Kraków, Poland","Geert D.van","Albada","University of Ansterdam, The Netherlands","Peter M.A.","Sloot","University of Amsterdam, The Netherlands","Jack J.","Dongarra","University of Tennessee, Knoxville, TN",,,,"E",,,"SC","713",,"Lecture Notes in Computer Science","003036",,"<P>The four-volume set LNCS 3036, LNCS 3037, LNCS 3038 and LNCS 3039 constitutes the refereed proceedings of the 4th International Conference on Computational Science, ICCS 2004, held in Kraków, Poland in June 2004.</P> <P>The four volumes present more th",,,"C","Ghana"
"354021058X",2004-07-27,"2004",109.00,"Mathematics","Tauberian Theory","A Century of Developments","Jacob","Korevaar","University of Amsterdam, The Netherlands",,,,,,,,,,,,,"A",,,"HC","483",,"Grundlehren der mathematischen Wissenschaften","000329",,"<P>Tauberian theory compares summability methods for series and integrals, helps to decide when there is convergence, and provides asymptotic and remainder estimates. The author shows the development of the theory from the beginning and his expert comment",,,"B","France"
"3798514518",2004-07-27,"2004",109.00,"Medicine","Search for the Causes of Schizophrenia","Volume V","W.F.","Gattaz","University of Sao Paulo-SP, Brazil","H.","HΣfner","University of Heidelberg, Germany",,,,,,,,,,"E","Steinkopff",,"HC","470",,,,,"<P>This book comprises the conferences and discussions presented at the 5<SUP>th</SUP> Symposium on the",,,"C","England"
"3540213198",2004-07-27,"2004",109.00,"Physics","Conjugate Gradient Algorithms and Finite Element Methods","Half-Century of Contributions to Scientific Computing","M.","Kri?ek","Academy of Sciences, Prague, Czech Republic","P.","NeittaanmΣki","University of JyvΣskylΣ, Finnland","R.","Glowinski","University of Houston, TX","S.","Korotov","University of Jyväskylä, Finnland",,,,"E",,,"HC","382",,"Scientific Computation",,,"<P>The position taken in this collection of pedagocically written essays is that conjugate gradient algorithms and finite element methods complement each other extremely well. The&nbsp; aim of this book is to present both methods in the context of complic","<P>On the Application of Preconditioning Operators for Nonlinear Elliptic Problems.- Conjugate Gradients &amp; Finite Elements - A Golden Jubilee.- The Convergence of Krylov Methods and Ritz Values.- On a Conjugate Gradient/Newton/Penalty Method for the S",,"C","USA"
"3540219870",2004-07-27,"2004",119.00,"Engineering","Dynamics and Bifurcations of Non-Smooth Mechanical Systems","Stati","Remco I.","Leine","ETH Zentrum, Zⁿrich, Switzerland","Henk","Nijmeijer","University of Technology, Eindhoven, The Netherlands",,,,,,,,,,"A",,,"HC","236",,"Lecture Notes in Applied and Computational Mechanics","000018",,"<P>This monograph combines the knowledge of both the field of Nonlinear Dynamcis and Non-smooth Mechanics and presents a framework for a class of non-smooth mechanical systems using techniques from both fields. During the last decades, the Non-smooth Mech",,,"C","China"
"1402081618",2004-07-27,"2004",120.00,"Computer Science","Edutech: Where Computer-Aided Design meets Computer-Aided Learning",,"Carlos Delgado","Kloos",,"Abelardo","Pardo",,,,,,,,,,,"E",,,"HC","227",,"IFIP International Federation for Information Processing","000152",,"<P>EduTech: Computer-Aided Design Meets Computer-Aided Learning<BR>Edited by Carlos Delgado Kloos and Abelardo Pardo</P> <P>Computation and communication technologies underpin work and development in many different areas. Among them, Computer-Aided Design",,,"C","Ghana"
"3540210822",2004-07-27,"2004",129.00,"Physics","Modulation Calorimetry","Theory and Applications","Yaakov","Kraftmakher","Bar-Ilan University, Ramat-Gan, Israel",,,,,,,,,,,,,"A",,,"HC","283",,,,,"<P><STRONG>Modulation Calorimetry</STRONG>&nbsp;reviews modulation techniques for measuring specific heat, thermal expansivity, temperature derivative of resistance, thermopower, and spectral absorptance. Owing to the periodic nature of the temperature os",,,"C","France"
"3540201998",2004-07-27,"2004",149.00,"Engineering","Adaptive Antenna Arrays","Trends and Applications","Sathish","Chandran","Perwira Ericsson Sdn., Selangor, Malaysia",,,,,,,,,,,,,"E",,,"HC","660",,"Signals and Communication Technology",,,"<P>´<EM>Adaptive Antenna Arrays: Trends and Applications?</EM> is a compilation of the works and thoughts of various scientists and engineers who are involved in this area. Its contents address the current and future trends of the adaptive antenna array s","<P>Overview of Adaptive Antennas.- Adaptive Algorithms.- Adaptive Antenna Applications.- Smart Antennas.- MIMO (Multiple input-multiple output).-&nbsp; Performance Issues.-Experimental Results.</P>",,"C","England"
"3540221239",2004-07-27,"2004",152.00,"Computer Science","Artificial Intelligence and Soft Computing -- ICAISC 2004","7th International Conference, Zakopane, Poland, June 7-11, 2004, Proceedings","Leszek","Rutkowski","Czestochowa University of Technology, Czestochowa, Poland","J÷rg","Siekmann","DFKI GmbH, Saarbrⁿcken, Germany","Ryszard","Tadeusiewicz","AGH University of Science and Technology, Krakow, Poland","Lotfi A.","Zadeh","University of California, Berkeley, CA",,,,"E",,,"SC","1233",,"Lecture Notes in Computer Science","003070",,"<P>This book constitutes the refereed proceedings of the 7th International Conference on Artificial Intelligence and Soft Computing, ICAISC 2004, held in Zakopane, Poland in June 2004.</P> <P>The 172 revised contributed papers presented together with 17 i",,,"C","India"
"1402081588",2004-07-27,"2004",160.00,"Computer Science","Information Technology","Selected Tutorials","Ricardo","Reis",,,,,,,,,,,,,,"E",,,"HC","8",,"IFIP International Federation for Information Processing","000151",,"<P>This volume reports on several important and state-of-the-art topics in information technology, including:</P> <P>? Quality of Service in Information Networks ? Risk-Driven Development of Security-Critical Systems Using UMLsec ? Developing Portable Sof",,,"C","USA"
"1402081529",2004-07-27,"2004",160.00,"Computer Science","Human Error, Safety and Systems Development",," W.","Johnson","University of Glasgow, UK","Philippe","Palanque","UniversitΘ Paul Sabatier, Toulouse, France",,,,,,,,,,"E",,,"HC","322",,"IFIP International Federation for Information Processing","000152",,"<P>Recent accidents in a range of industries have increased concern over the design, development, management and control of safety-critical systems. Attention has now focused upon the role of human error both in the development and in the operation of com",,,"C","China"
"1402081480",2004-07-27,"2004",160.00,"Computer Science","Distributed and Parallel Embedded Systems","Integrated Design Methodologies","Bernd","Kleinjohann",,"Guang R.","Gao",,"Hermann","Kopetz",,"Lisa","Kleinjohann",,"Achim","Rettberg",,"E",,,"HC","326",,"IFIP International Federation for Information Processing","000150",,"<P>The ever decreasing price/performance ratio of microcontrollers makes it economically attractive to replace more and more conventional mechanical or electronic control systems within many products by embedded real-time computer systems. An embedded rea",,,"C","Ghana"
"1402081464",2004-07-27,"2004",160.00,"Computer Science","Smart Card Technologies and Applications",,"J.-J.","Quisquater","UniversitΘ Catholique de Louvain, Belgium","Pierre","Paradinas",,"Yves","Deswarte",,"Anas","Abou El Kalam",,,,,"E",,,"HC","318",,"IFIP International Federation for Information Processing","000153",,"<P>In the Information Society, the smart card, or smart device with its processing power and link to its owner, will be the potential human representation or delegate in Ambient Intelligence (Pervasive Computing), where every appliance or computer will be",,,"C","France"
"1402080697",2004-07-27,"2004",175.00,"Computer Science","Data and Applications Security XVII","Status and Prospects","Sabrina","de Capitani di Vimercati","Information Technology Dept., University of Milan, Italy","Indrakshi","Ray","Dept. of Computer Science, Colorado State University, Fort Collins, USA","Indrajit","Ray","Dept. of Computer Science, Colorado State University, Fort Collins, USA",,,,,,,"E",,,"HC","404","0","IFIP International Federation for Information Processing","000142",,"Security and privacy are paramount concerns in information processing systems, which are vital to business, government and military operations and, indeed, society itself. Meanwhile, the expansion of the Internet and its convergence with telecommunication",,,"C","England"
"3540006141",2004-07-27,"2004",179.00,"Medicine","Orthopedic Nuclear Medicine",,"Abdelhamid H.","Elgazzar","Safat, Kuwait",,,,,,,,,,,,,"A",,,"HC","240","398",,,,"This volume was conceived to collate the previously fragmented or incompletely elucidated data on the impressive recent advances in orthopedic nuclear medicine. The book begins by acquainting the readers with various anatomic, physiologic, pathologic and ",,,"B","India"
"3540206663",2004-07-27,"2004",179.00,"Chemistry","SiC Power Materials","Devices and Applications","Zhe C.","Feng","Georgia Institute of Technology, Atlanta, GA",,,,,,,,,,,,,"E",,,"HC","450",,"Springer Series in Materials Science","000073",,"In the 1950s Shockley predicted that SiC would quickly replace Si as a result of its superior material properties. In many ways he was right and today there is an active industry based on SiC, with new achievements being reported every year. This book rev","Materials Science and Engineering of Bolk Silicon Carbides.- Fundamental Properties of SiC: Crystal Structure, Bonding Energy, Band Structure, and Lattice Vibration.- Sublimation Growth of SiC Single Crystals.- Crystal Growth of Silicon Carbide, Evaluatio",,"C","USA"
"1402081545",2004-07-27,"2004",180.00,"Computer Science","Building the E-Service Society","E-Commerce, E-Business, and E-Government","WinfriedJanis","LamersdorfBubenko, Jr.","University of Hamburg, GermanyRoyal Institute of Technology and University of Stockholm, Sweden","Volker","Tschammer","Fraunhofer FOKUS, Berlin, Germany","Stephane","Amarger","Hitachi Europe SAS, Valbonne, France",,,,,,,"E",,,"HC","504",,"IFIP International Federation for Information Processing","000146",,"<P><STRONG>Building the E-Service Society</STRONG> is a state-of-the-art book which deals with innovative trends in communication systems, information processing, and security and trust in electronic commerce, electronic business, and electronic governmen",,,"C","China"
"1402081502",2004-07-27,"2004",180.00,"Computer Science","Artificial Intelligence Applications and Innovations",,"Max","Bramer","University of Portsmouth, UK","Vladan","Devedzic","University of Belgrade, Serbia and Montenegro",,,,,,,,,,"E",,,"HC","350",,"IFIP International Federation for Information Processing","000154",,"<P><EM>Artificial Intelligence and Innovations</EM> (AIAI) will interest researchers, IT professionals and consultants by examining technologies and applications of demonstrable value. The conference focused on profitable intelligent systems and technolog",,,"C","Ghana"
"1402081421",2004-07-27,"2004",180.00,"Computer Science","Security and Protection in Information Processing Systems",,"Yves","Deswarte","LAAS-CNRS, Toulouse, France","Frederic","Cuppens","ENST Bretagne, Cesson Sevigne Cedex, France","Sushil","Jajodia","George Mason University, Fairfax, VA","Lingyu","Wang","George Mason University, Fairfax, VA",,,,"E",,,"HC","548",,"IFIP International Federation for Information Processing","000147",,"<P><STRONG>Security and Protection in Information Processing Systems</STRONG> </P> <P>Edited by Yves Deswarte, Frédéric Cuppens, Sushil Jajodia, and Lingyu Wang</P> <P>&nbsp;</P> <P>Security is probably the most critical factor for the development of the",,,"C","France"
"1402081383",2004-07-27,"2004",195.00,"Computer Science","Virtual Enterprises and Collaborative Networks",,"Luis M.","Camarinha-Matos","New University of Lisbon, Monte Caparica, Portugal",,,,,,,,,,,,,"E",,,"HC","609",,"IFIP International Federation for Information Processing","000149",,"<P>Collaborative Network Organizations (CNO) corresponds to a very active and steadily growing area. For instance, Virtual enterprises/Virtual Organizations (PVC) suggest new ways of work and put the emphasis on collaborative networks of human actors.</P>",,,"C","England"
"1402081405",2004-07-27,"2004",195.00,"Computer Science","Exploring New Frontiers of Theoretical Informatics",,"Jean-Jacques","Levy","INRIA Rocquencourt, Le Chesnay, France","Ernst W.","Mayr","Technische UniversitΣt Mⁿnchen, Garching, Germany","John  C.","Mitchell","Stanford University, Stanford, CA",,,,,,,"E",,,"HC","690",,"IFIP International Federation for Information Processing","000155",,"<P>In recent years, IT application scenarios have evolved in very innovative ways. Highly distributed networks have now become a common platform for large-scale distributed programming, high bandwidth communications are inexpensive and widespread, and mos",,,"C","USA"
"3540430652",2004-07-27,"2004",199.00,"Medicine","Primary Knee Arthroplasty","From Basic Science of Clinical Evidence","U.K.","Munzinger","Schulthess Klinik, Zurich, Switzerland","J.G.","Boldt","Orthopedic Center Geilenkirchen, Germany","P.A.","Keblish","Orthopaedic Associates of Allentown, PA",,,,,,,"E",,,"HC","292","411",,,,"<P>&nbsp;</P> <P>Primary knee arthroplasty has a long history and modern mobile bearing knee implants are successfully implanted worldwide since 1977. This book focuses on basic science, personal surgical experiences, clinical, functional and radiographic","Basic Design Principles.- Knee Arthroplasty.- Operating Technique.- Rehabilitation.- Complications.- Revision Surgery. ",,"B","China"
"8847002257",2004-07-27,"2004",209.00,"Medicine","Pediatric Hydrocephalus",,"G.","Cinalli","Santobono-Pausilipon Children's Hospital, Naples, Italy","W.J.","Maixner","Royal Children's Hospital, Melbourne, VIC, Australia","C.","Sainte-Rose","Hopital Necker-Enfants Malades, Paris, France",,,,,,,"E",,,"HC","461",,,,,"In the last ten years the pediatric neurosurgeon has witnessed a real revolution in the diagnosis and treatment of pediatric hydrocephalus, the most frequently encountered condition in the everyday clinical practice. The evolution of MRI and the advent of",,,"C","Ghana"
"3540214704",2004-07-27,"2004",279.00,"Biology","Biological Resources and Migration",,"Dietrich","Werner","University of Marburg, Germany",,,,,,,,,,,,,"E",,,"HC","363",,,,,"<P>Migration is a global and ubiquitous phenomenon. A large percentage of our cultivated land in industrialized as well as in developing countries are covered with migrated or introduced plants. But also in natural habitats and communities, migration of a","<P>The Gene Ricepool and Human Migrations.- Movement of Rice Germplasm Around the World.- Potential for Gene Flow from Cultivated Wheat to Weedy Relatives in the Great Plains of North America.- Humans, Climate, and Plants: the Migration of Crested Wheatgr",,"C","France"
"3540218432",2004-07-27,"2004",299.00,"Physics","Beyond the Desert 2003","Proceedings of the Fourth Tegernsee International Conference on Particle Physics Beyond the Standard BEYOND 2003, Castle Ringberg, Tegernsee, Germany, 9-14 June 2003","Hans-Volker","Klapdor-Kleingrothaus","Max-Planck-Institut fⁿr Kernphysik, Heidelberg, Germany",,,,,,,,,,,,,"E",,,"HC","1145",,"Springer Proceedings in Physics","000092",,"<P>This book contains the Proceedings of the Fourth International Conference on Particle Physics Beyond the Standard Model - BEYOND THE DESERT 2003. Emphasis at BEYOND03 was put on supergravity, which had its twentieth birthday that year, on neutrino phys","<P>SUSY/SUGRA Phenomenology and Early Universe.- Cosmic Microwave Background.- Superstrings and Symmetries.- Cosmology and Neutrino Oscillations.- Neutrinoless Double Beta Decay.- Fundamental Symmetries and Tests of General Relativity.- Dark Matter Search",,"C","England"
"1402020627",2004-07-28,"2004",179.00,"Mathematics","Topics in Analysis and its Applications",,"Grigor A.","Barsegian","Institute of Mathematics, National Academy of Sciences of Armenia, Yerevan, Armenia","Heinrich G.W.","Begehr","Freie Universität, Berlin, Germany",,,,,,,,,,"E",,,"HC","469","0","NATO Science Series II: Mathematics, Physics and Chemistry","000147",,"Most topics dealt with here deal with complex analysis of both one and several complex variables. Several contributions come from elasticity theory. Areas covered include the theory of p-adic analysis, mappings of bounded mean oscillations, quasiconformal",,,"C","USA"
"0387212396",2004-07-28,"2004",89.95,"Statistics","Monte Carlo Statistical Methods",,"Christian P.","Robert","CEREMADE, Paris, France","George","Casella","University of Florida, Gainesville, FL",,,,,,,,,,"A",,"02","HC","645",,"Springer Texts in Statistics",,,"Monte Carlo statistical methods, particularly those based on Markov chains, have now matured to be part of the standard set of techniques used by statisticians. This book is intended to bring these techniques into the classroom, being a self-contained log","Introduction * Random Variable Generation * Monte Carlo Integration * Markov Chains * Monte Carlo Optimization * The Metropolis-Hastings Algorithm * The Gibbs Sampler * Diagnosing Convergence * Implementation in Missing Data Models","<P>From the reviews:</P> <P>MATHEMATICAL REVIEWS</P> <P>","B","China"
"1402021453",2004-07-28,"2004",88.00,"Earth Sciences","Earth Paleoenvironments: Records preserved in Mid- and Low-Latitude Glaciers",,"L.","DeWayne Cecil","U.S. Geological Survey, Idaho Falls, ID","Jaromy R.","Green","Garden City Community College, KS","Lonnie G.","Thompson","The Ohio State University, Columbus",,,,,,,"E",,,"HC","250","0","Developments in Paleoenvironmental Research","000009",,"Glaciers provide an unparalleled tool for studying global environmental change. This book is the first of its kind concentrating on the paleoenvironmental record archived in mid- and low-latitude glaciers. By concentrating mainly on the last 500 years of ",,,"B","Ghana"
"3211209956",2004-07-28,"2004",99.00,"Mathematics","Nonlinear Differential Equation Models",,"Ansgar","Jⁿngel","University of Mainz, Germany","Raul","Manasevich","Centro de Modelamiento Matematico, Santiago, Chile","Peter A.","Markowich","University of Vienna, Austria","Henrik","Shahgholian","KTH Stockholm, Sweden",,,,"E",,,"HC","192",,,,,"The papers in this book originate from lectures which were held at the äVienna Workshop on Nonlinear Models and Analysisô û May 20û24, 2002. They represent a cross-section of the research field Applied Nonlinear Analysis with emphasis on free boundaries, ",,,"C","France"
"0387214445",2004-07-28,"2004",39.95,"Mathematics","Making Transcendence Transparent","An Intuitive Approach to Classical Transcendental Number Theory","Edward B.","Burger","Williams College, Williamstown, MA","Robert","Tubbs","University of Colorado at Boulder, CO",,,,,,,,,,"A",,,"HC","263",,,,,"<P>While the theory of transcendental numbers is a fundamental and important branch of number theory, most mathematicians know only its most elementary results. The aim of",,,"A","England"
"0387204512",2004-07-28,"2004",49.95,"Medicine","Sepsis",,"Guillermo","Ortiz-Ruiz","Hospital Santa Clara, Bogota, Colombia","Marco A.","Perafan","Clinica Shaio, Bogota, Colombia","Eugene","Faist","University of Munich, Germany",,,,,,,"E",,,"SC","174",,,,,"Sepsis or Septic Shock is a type of condition/infection which represents one of the leading post-surgical or post-traumatic complications. Sepsis is the major cause of morbidity and mortality in intensive care units worldwide. Also, sepsis is the leading ","Introduction 1) Pathophysiology of Sepsis&nbsp;2) Community Acquired Pneumonia - Colombian Vision&nbsp;3) Severe Pneumonia 4) Ventilator Associated Pneumonia 5) Fibrobronchoscopy as a Diagnostic Tool in Sepsis of Pulmonary Origin 6) Role of Open Lung Biop",,"A","India"
